f1,auc,precision,recall,accuracy,dataset,WL,n,id
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,19,3,4
0.8,0.9941314553990608,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_16.csv,19,5,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,19,5,1
0.8,0.9980438184663536,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_16.csv,19,5,2
0.8,0.9980438184663536,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_16.csv,19,5,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,19,5,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,12,2,0
0.8,0.9427022841656988,1.0,0.6666666666666666,0.9988425925925926,A1Benchmark/real_16.csv,12,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,12,2,2
0.8,0.9891598915989159,1.0,0.6666666666666666,0.9988425925925926,A1Benchmark/real_16.csv,12,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,12,2,4
0.8,0.994967092528068,1.0,0.6666666666666666,0.9988425925925926,A1Benchmark/real_16.csv,12,3,0
0.8,0.9667053813395275,1.0,0.6666666666666666,0.9988425925925926,A1Benchmark/real_16.csv,12,3,1
0.8,0.994967092528068,1.0,0.6666666666666666,0.9988425925925926,A1Benchmark/real_16.csv,12,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,12,3,3
0.8,0.9957413859852884,1.0,0.6666666666666666,0.9988425925925926,A1Benchmark/real_16.csv,12,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,12,5,0
0.8,0.9924332935085622,1.0,0.6666666666666666,0.9988095238095238,A1Benchmark/real_16.csv,12,5,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,12,5,2
0.8,0.9924332935085622,1.0,0.6666666666666666,0.9988095238095238,A1Benchmark/real_16.csv,12,5,3
0.8,0.992831541218638,1.0,0.6666666666666666,0.9988095238095238,A1Benchmark/real_16.csv,12,5,4
0.9516908212560384,0.9855463008329248,0.9563106796116504,0.9471153846153846,0.9760765550239234,A1Benchmark/real_17.csv,19,2,0
0.9516908212560384,0.9910812714355708,0.9563106796116504,0.9471153846153846,0.9760765550239234,A1Benchmark/real_17.csv,19,2,1
0.9516908212560384,0.9927042503674668,0.9563106796116504,0.9471153846153846,0.9760765550239234,A1Benchmark/real_17.csv,19,2,2
0.9516908212560384,0.9917779274865264,0.9563106796116504,0.9471153846153846,0.9760765550239234,A1Benchmark/real_17.csv,19,2,3
0.9516908212560384,0.9944344071533562,0.9563106796116504,0.9471153846153846,0.9760765550239234,A1Benchmark/real_17.csv,19,2,4
0.9395973154362416,0.9865526529925082,0.9545454545454546,0.9251101321585904,0.9684210526315792,A1Benchmark/real_17.csv,19,3,0
0.9380530973451328,0.9851216364095514,0.9422222222222222,0.933920704845815,0.967251461988304,A1Benchmark/real_17.csv,19,3,1
0.9417040358744394,0.9828137714301748,0.9589041095890408,0.9251101321585904,0.9695906432748538,A1Benchmark/real_17.csv,19,3,2
0.9375,0.986159824910912,0.9502262443438914,0.9251101321585904,0.967251461988304,A1Benchmark/real_17.csv,19,3,3
0.9417040358744394,0.9775105923286288,0.9589041095890408,0.9251101321585904,0.9695906432748538,A1Benchmark/real_17.csv,19,3,4
0.9395973154362416,0.9725651673728221,0.9545454545454546,0.9251101321585904,0.9684210526315792,A1Benchmark/real_17.csv,19,5,0
0.9417040358744394,0.978303263278992,0.9589041095890408,0.9251101321585904,0.9695906432748538,A1Benchmark/real_17.csv,19,5,1
0.9417040358744394,0.986272061505654,0.9589041095890408,0.9251101321585904,0.9695906432748538,A1Benchmark/real_17.csv,19,5,2
0.9417040358744394,0.98568281938326,0.9589041095890408,0.9251101321585904,0.9695906432748538,A1Benchmark/real_17.csv,19,5,3
0.9417040358744394,0.9883414237212044,0.9589041095890408,0.9251101321585904,0.9695906432748538,A1Benchmark/real_17.csv,19,5,4
0.9535452322738388,0.9941664625183734,0.9701492537313432,0.9375,0.9772727272727272,A1Benchmark/real_17.csv,11,2,0
0.9519230769230768,0.9866487016168544,0.9519230769230768,0.9519230769230768,0.9760765550239234,A1Benchmark/real_17.csv,11,2,1
0.95,0.9920841499265066,0.9895833333333334,0.9134615384615384,0.9760765550239234,A1Benchmark/real_17.csv,11,2,2
0.94320987654321,0.9847041891229792,0.9695431472081218,0.9182692307692308,0.9724880382775121,A1Benchmark/real_17.csv,11,2,3
0.9521531100478468,0.989282214600686,0.9476190476190476,0.9567307692307692,0.9760765550239234,A1Benchmark/real_17.csv,11,2,4
